OID_,Value,Count,EPA_L3_R,LC16_BPS_200,US_L3CODE,L3_KEY,BPS_MODEL,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR
14891,14891,379,674,1512,73,73  Mississippi Alluvial Plain,14730_45_46_47_98_99,Gulf and Atlantic Coastal Plain Floodplain Systems,115,NA,100,53.000000000000000
14892,14892,362,656,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14893,14893,3,660,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14894,14894,473,655,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14895,14895,806,655,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14896,14896,1,657,1514,73,73  Mississippi Alluvial Plain,14800_45_98,Gulf and Atlantic Coastal Plain Swamp Systems,994,NA,681,404.000000000000000
14897,14897,70,674,1514,73,73  Mississippi Alluvial Plain,14800_45_98,Gulf and Atlantic Coastal Plain Swamp Systems,994,NA,681,404.000000000000000
14898,14898,287,845,31,75,75  Southern Coastal Plain,NA,Barren-Rock/Sand/Clay,NA,NA,NA,0.000000000000000
14899,14899,12366,133,1743,31,31  Southern Texas Plains,13580_35_36,East-Central Texas Plains Southern Pine Forest and Woodland,64,91,7,6.000000000000000
14900,14900,1,133,1757,31,31  Southern Texas Plains,14740_36,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,186,172,10,9.000000000000000
14901,14901,1381,156,1746,34,34  Western Gulf Coastal Plain,13900_35_36,Tamaulipan Mixed Deciduous Thornscrub,15,NA,NA,15.000000000000000
14902,14902,8959,156,1741,34,34  Western Gulf Coastal Plain,13380_36,Central and South Texas Coastal Fringe Forest and Woodland,440,100,NA,81.000000000000000
14903,14903,17,157,1749,34,34  Western Gulf Coastal Plain,14340_36,Texas-Louisiana Coastal Prairie,3,NA,NA,3.000000000000000
14904,14904,27,157,1746,34,34  Western Gulf Coastal Plain,13900_35_36,Tamaulipan Mixed Deciduous Thornscrub,15,NA,NA,15.000000000000000
14905,14905,3,156,1757,34,34  Western Gulf Coastal Plain,14740_36,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,186,172,10,9.000000000000000
14906,14906,45,156,1758,34,34  Western Gulf Coastal Plain,14760_36,Tamaulipan Riparian Systems,NA,NA,31,31.000000000000000
14907,14907,388,155,11,34,34  Western Gulf Coastal Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14908,14908,474,155,1760,34,34  Western Gulf Coastal Plain,14860_36,Texas-Louisiana Saline Coastal Prairie,4,NA,NA,4.000000000000000
14909,14909,190,155,1761,34,34  Western Gulf Coastal Plain,14900_36,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,27,NA,NA,27.000000000000000
14910,14910,757,155,1750,34,34  Western Gulf Coastal Plain,14370_36,Central and Upper Texas Coast Dune and Coastal Grassland,3,NA,NA,3.000000000000000
14911,14911,49,155,1746,34,34  Western Gulf Coastal Plain,13900_35_36,Tamaulipan Mixed Deciduous Thornscrub,15,NA,NA,15.000000000000000
14912,14912,7,155,1741,34,34  Western Gulf Coastal Plain,13380_36,Central and South Texas Coastal Fringe Forest and Woodland,440,100,NA,81.000000000000000
