OID_,Value,Count,EPA_L3_R,LC16_BPS_200,US_L3CODE,L3_KEY,BPS_MODEL,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR
15040,15040,1046,594,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15041,15041,21,593,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15042,15042,98,592,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15043,15043,17,592,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15044,15044,12,591,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15045,15045,98,591,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15046,15046,88,590,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15047,15047,3,590,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15048,15048,6,589,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15049,15049,30,589,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15050,15050,411,588,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15051,15051,355,588,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15052,15052,48,587,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15053,15053,7,587,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15054,15054,244,586,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15055,15055,104,586,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15056,15056,33,585,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15057,15057,170,585,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15058,15058,78,583,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15059,15059,3,583,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
