l3code,bps_mode,mfri_all,count
7,11050_3_6_7,74,126774
7,11050_4_5,50,1659048
7,11080_4_5_13_14_15_2,81,1183076
7,11100_4,51,445
7,11120_4_5,11,4390799
7,11130_3,13,132
7,11130_4,13,1002
7,11140_3_6_7,9,59863
7,11140_4_5,12,4999223
7,11180_4,16,1
7,11280_2_3_4,110,556
7,11290_4_5,4,2198568
7,11310_2_3_4,2,5
7,11380_3_5,64,153
7,11510_4_5,0,16867611
7,11520_2_3_7,35,753
7,11520_4_5,43,14731
7,11520_6,46,7801
7,11530_6_10_12_13_17_,1024,159
7,11540_6_12_16_17,378,39825
7,11550_4,23,2
7,11630_3_4_5,11,146531
8,10140_4_5,8,3227512
8,10190_13_14,157,32477
8,10190_4,203,387410
8,10200_13,348,182
8,10270_4_5_6,11,1637821
8,10280_4_6_7_12,17,712490
8,10290_2_3_4_5_6_7_12,8,917
8,10300_2_3_4_5_6_7,10,14505
8,10310_2_3_4_5_6_12,9,220865
8,10520_13,39,392
8,10540_13_14,15,643
8,10580_4,50,75698
8,10610_13,33,5
8,10620_13,69,22
8,10790_13,87,133
8,10800_13_14,111,3188
8,10820_4_13,399,701931
8,10870_4_6_12_13_14_1,329,55511
8,10880_4_5,0,8419
8,10910_13_14,104,36325
8,10920_4,150,140699
8,10960_4,124,1010
8,10970_4_5,79,887403
8,10980_4,39,54302
8,10990_4,81,6558
8,11030_6_7_12_13_16_1,50,853
8,11050_4_5,50,264490
8,11070_13,39,824
8,11080_4_5_13_14_15_2,81,1738247
8,11090_4_13,1284,13
8,11100_4,51,4813977
8,11120_4_5,11,22812
8,11130_4,13,25352
8,11140_4_5,12,235433
8,11180_4,16,1141683
8,11280_2_3_4,110,15
8,11290_4_5,4,1111
8,11310_2_3_4,2,8
8,11350_13_14,119,1772
8,11520_4_5,43,850323
8,11540_13,68,1686
8,11550_13_14,23,248
8,11550_4,23,2821
8,11552_13_14_15,735,15020
9,10080_1_2_3_7,10,477898
9,10110_6_10_12_17_18_,31,48635
9,10110_7,56,109704
9,10110_9,27,5325
9,10170_6_7_8_9_12_18,169,4732262
9,10180_1_7,65,4353997
9,10190_6_7_9_12_16_17,440,173739
9,10200_6_9_12_17,143,1
9,10210_2_3_6_7,9,26
9,10220_2_3_6_7,9,3554
9,10270_2_3_7,8,1590326
9,10270_4_5_6,11,33306
9,10280_4_6_7_12,17,4889318
9,10290_2_3_4_5_6_7_12,8,257705
9,10300_2_3_4_5_6_7,10,850378
9,10310_2_3_4_5_6_12,9,524162
9,10310_7,19,1829053
9,10320_2_3_7,25,447932
9,10321_6,34,3647
9,10322_6,52,7335
9,10330_3_6_7,258,88569
9,10340_4_6_7,68,26456
9,10350_1_2_7,35,163
9,10360_1_2,657,1
9,10370_1_2_7,80,311312
9,10380_1_7,5183,5072
9,10390_1_2_3_7,404,13882
9,10411_1_7,3461,308
9,10412_1_7,166,236321
9,10420_1_7,1172,25662
9,10431_2_3_6_7,14,25688
9,10440_3_6_7,327,15621
9,10450_1_7_8_9,22,2915709
9,10460_1_7_9,64,231007
9,10520_12,33,12
9,10531_1_7_8_9,14,6854789
9,10532_7_9,47,3275306
9,10550_1_8_9,120,165704
9,10560_1_7_8_9,93,228366
9,10570_12_16,143,185267
9,10580_7,80,4028
9,10582_6,26,31
9,10600_1_2_7,28,987310
9,10610_6,36,21
9,10610_8_9_17,27,177
9,10620_6_12_17_18,69,36679
9,10620_7_9,77,207570
9,10630_1,304,1720
9,10630_2_7,83,796
9,10650_1_8_9_10,253,39663
9,10680_1_7,0,3663
9,10790_6_9_10_12_16_1,84,807877
9,10800_1_7_8_9,101,617903
9,10803_6_12_15_16_17_,151,14828
9,10804_6_12_15_16_17_,120,161030
9,10810_6_12_13_17,1978,6172
9,10810_7_8_9,698,2766
9,10830_1,998,640
9,10840_1,10975,12772
9,10970_3_6_7,54,1806
9,10980_6,34,1621
9,10980_7,34,119091
9,11030_6_7_12_13_16_1,50,8511
9,11050_3_6_7,74,1147
9,11060_1_8_9,41,3685
9,11200_1_2_7,10,965
9,11230_1_7_8_9,39,837683
9,11240_1_7_8_9,222,302560
9,11250_1_7_8_9_10_19,59,4292865
9,11250_6_12_13_15_16_,117,907
9,11260_1_7_8_9_10_19,31,2833639
9,11260_6_12_17_18_28,49,425232
9,11270_10_12_13_17_18,225,286
9,11270_7_8_9,212,2908
9,11350_7_8_9_10_12_17,81,48311
9,11380_1,771,376
9,11390_8_9,35,1671
9,11440_12_16_19_28,207,9892
9,11520_2_3_7,35,161124
9,11520_6,46,14615
9,11530_6_10_12_13_17_,1024,250
9,11530_7_8_9,1019,849643
9,11540_1_7_8_9,99,3475942
9,11540_6_12_16_17,378,70643
9,11560_1_2_7,749,183078
9,11570_1_2,0,324
9,11581_1_2_7,865,6805
9,11582_1_2_7,155,380527
9,11590_8_9,50,12497
9,11600_12_17,61,112
9,11600_8_9,80,32
9,11650_1_7_8,54,366613
9,11650_9,18,303
9,11660_9_10_19,27,11
9,11670_1_7_9,56,3965254
9,11710_1,504,28234
9,11710_7,203,7
9,11720_7,24,527467
9,11730_1_7,497,2175
9,11740_1_7,160,174067
9,11780_1_2_7,0,1738
10,10080_1_2_3_7,10,108185
10,10110_7,56,25
10,10110_9,27,5038
10,10170_6_7_8_9_12_18,169,68943
10,10180_1_7,65,8702
10,10270_2_3_7,8,668
10,10280_4_6_7_12,17,6
10,10300_2_3_4_5_6_7,10,24
10,10310_7,19,78
10,10320_2_3_7,25,10
10,10350_1_2_7,35,71
10,10370_1_2_7,80,1326
10,10390_1_2_3_7,404,290
10,10412_1_7,166,4
10,10431_2_3_6_7,14,5727
10,10450_1_7_8_9,22,2837608
10,10451_10_19,19,258911
10,10452_10_19,37,3790
10,10453_10_19,72,138783
10,10460_1_7_9,64,894
10,10470_10_19,80,3524
10,10470_8_9,70,57757
10,10530_10_19,13,211599
10,10531_1_7_8_9,14,2023467
10,10532_7_9,47,24109
10,10550_1_8_9,120,290
10,10550_10_19,137,5126
10,10560_1_7_8_9,93,180
10,10560_10_19,181,27
10,10600_1_2_7,28,217407
10,10610_8_9_17,27,3610
10,10620_10_19_21_29_31,69,843
10,10620_7_9,77,113
10,10650_1_8_9_10,253,3859307
10,10680_1_7,0,13
10,10800_1_7_8_9,101,1484069
10,10800_10_19,80,172548
10,10810_7_8_9,698,733
10,10840_1,10975,294
10,11030_6_7_12_13_16_1,50,1
10,11050_3_6_7,74,28
10,11060_1_8_9,41,1901169
10,11060_10_19,82,6724
10,11230_1_7_8_9,39,49070962
10,11230_10_18,50,672844
10,11240_1_7_8_9,222,108893
10,11240_10_12_17_18_19,201,18790
10,11250_1_7_8_9_10_19,59,11352700
10,11260_1_7_8_9_10_19,31,2253023
10,11270_10_12_13_17_18,225,73
10,11270_7_8_9,212,8765
10,11340_10,14,5453
10,11340_8_9,9,529958
10,11350_7_8_9_10_12_17,81,6932399
10,11390_10_19,17,70803
10,11390_8_9,35,473937
10,11400_10_19,146,1
10,11420_8,18,350819
10,11420_9_10,25,1338
10,11450_9_10_19,32,239
10,11520_2_3_7,35,16
10,11530_6_10_12_13_17_,1024,629
10,11530_7_8_9,1019,103813
10,11540_1_7_8_9,99,3308730
10,11540_10_19,173,250939
10,11560_1_2_7,749,81166
10,11581_1_2_7,865,48
10,11582_1_2_7,155,10792
10,11590_10_19,50,270923
10,11590_8_9,50,368402
10,11600_8_9,80,415
10,11610_9_10_19,386,3366
10,11650_1_7_8,54,143892
10,11650_9,18,705
10,11660_9_10_19,27,8188
10,11670_1_7_9,56,10103
11,10080_1_2_3_7,10,1494
11,10110_6_10_12_17_18_,31,992
11,10110_7,56,1258
11,10110_9,27,1425190
11,10170_6_7_8_9_12_18,169,2644678
11,10180_1_7,65,1154
11,10190_6_7_9_12_16_17,440,7
11,10200_6_9_12_17,143,129
11,10270_2_3_7,8,1235
11,10280_4_6_7_12,17,262
11,10310_7,19,72
11,10370_1_2_7,80,926
11,10412_1_7,166,131
11,10420_1_7,1172,28
11,10431_2_3_6_7,14,2419
11,10450_1_7_8_9,22,18916228
11,10451_10_19,19,664977
11,10452_10_19,37,8434
11,10453_10_19,72,522431
11,10460_1_7_9,64,466269
11,10460_10_19_20,184,113400
11,10470_10_19,80,98034
11,10470_8_9,70,1972477
11,10530_10_19,13,1185927
11,10531_1_7_8_9,14,6895868
11,10532_7_9,47,2234598
11,10550_1_8_9,120,634790
11,10550_10_19,137,47570
11,10560_1_7_8_9,93,682177
11,10560_10_19,181,463239
11,10570_18,142,3
11,10600_1_2_7,28,61819
11,10610_18,28,115
11,10610_8_9_17,27,467048
11,10620_10_19_21_29_31,69,16640
11,10620_6_12_17_18,69,18
11,10620_7_9,77,291020
11,10650_1_8_9_10,253,468340
11,10700_10_19_28,228,99
11,10790_6_9_10_12_16_1,84,561210
11,10800_1_7_8_9,101,1467215
11,10800_10_19,80,516
11,10804_6_12_15_16_17_,120,89
11,10810_7_8_9,698,386
11,11060_1_8_9,41,514469
11,11060_10_19,82,9208
11,11230_1_7_8_9,39,9746100
11,11230_10_18,50,956313
11,11240_1_7_8_9,222,612165
11,11240_10_12_17_18_19,201,10488
11,11250_1_7_8_9_10_19,59,7581526
11,11250_6_12_13_15_16_,117,248287
11,11260_1_7_8_9_10_19,31,9504289
11,11260_6_12_17_18_28,49,77956
11,11270_10_12_13_17_18,225,8
11,11270_7_8_9,212,14304
11,11340_10,14,168799
11,11340_8_9,9,256321
11,11350_7_8_9_10_12_17,81,176336
11,11390_10_19,17,202972
11,11390_8_9,35,419711
11,11400_10_19,146,15233
11,11400_9,464,100757
11,11420_8,18,15
11,11420_9_10,25,6968
11,11430_9_19_21_28,525,26
11,11450_9_10_19,32,4632
11,11520_2_3_7,35,118
11,11530_7_8_9,1019,63422
11,11540_1_7_8_9,99,305532
11,11540_10_19,173,147646
11,11540_18,174,20137
11,11560_1_2_7,749,34
11,11581_1_2_7,865,18
11,11582_1_2_7,155,1958
11,11590_10_19,50,133989
11,11590_18,174,8424
11,11590_8_9,50,2777400
11,11600_10_19,80,20505
11,11600_18,42,10384
11,11600_8_9,80,634923
11,11610_9_10_19,386,68614
11,11650_1_7_8,54,2862
11,11650_9,18,79103
11,11660_9_10_19,27,379641
11,11670_1_7_9,56,200594
11,11740_1_7,160,385
12,10110_21,110,146122
12,10110_6_10_12_17_18_,31,127962
12,10110_9,27,1530
12,10120_17_18_21,51,6553
12,10170_6_7_8_9_12_18,169,5155
12,10190_6_7_9_12_16_17,440,41807
12,10450_1_7_8_9,22,78
12,10450_21,38,9
12,10451_10_19,19,49502
12,10453_10_19,72,5744
12,10460_18,41,50
12,10460_21,199,1
12,10470_10_19,80,50
12,10490_19_20_21_23_28,385,1713
12,10500_18,122,3735
12,10510_18_21,11,110
12,10520_18,33,4291
12,10520_21,33,178
12,10530_10_19,13,59671
12,10531_1_7_8_9,14,20
12,10532_7_9,47,1
12,10550_10_19,137,72
12,10550_18,139,716
12,10550_21_22,333,36071
12,10560_10_19,181,980
12,10560_21_22,291,4012
12,10570_18,142,1328
12,10610_18,28,6569
12,10620_10_19_21_29_31,69,7896
12,10620_6_12_17_18,69,25970
12,10620_7_9,77,9
12,10650_1_8_9_10,253,22017
12,10790_6_9_10_12_16_1,84,1246883
12,10800_1_7_8_9,101,2762
12,10800_10_19,80,9345
12,10801_21_22_28,72,738
12,10802_21_22_28,98,19087
12,10803_6_12_15_16_17_,151,63852
12,10804_6_12_15_16_17_,120,163722
12,10810_18_19_21,1140,1671414
12,10810_7_8_9,698,31705
12,10860_13_16_17_18_21,22,106
12,11060_10_19,82,138
12,11060_18,44,67419
12,11060_20_21_29,79,148
12,11150_10_19,189,89
12,11150_21_22,64,11
12,11230_1_7_8_9,39,22919
12,11230_10_18,50,890
12,11240_10_12_17_18_19,201,3087
12,11250_1_7_8_9_10_19,59,1600279
12,11250_6_12_13_15_16_,117,35202573
12,11260_1_7_8_9_10_19,31,1246863
12,11260_21,50,387857
12,11260_6_12_17_18_28,49,4929940
12,11270_10_12_13_17_18,225,919
12,11270_21,217,10
12,11350_7_8_9_10_12_17,81,2411
12,11390_10_19,17,4500
12,11390_21,32,916
12,11400_10_19,146,203542
12,11450_21,40,88
12,11530_6_10_12_13_17_,1024,362092
12,11530_7_8_9,1019,344
12,11540_1_7_8_9,99,9107
12,11540_10_19,173,8272
12,11540_18,174,6344706
12,11590_10_19,50,416890
12,11590_18,174,950953
12,11590_21,180,24553
12,11590_8_9,50,6893
12,11600_10_19,80,132157
12,11600_18,42,308406
12,11600_21,299,137660
12,11610_21,401,6511
12,11610_9_10_19,386,6834
12,11650_9,18,23
12,11660_21,40,100416
12,11660_9_10_19,27,8542
12,11662_19,18,3
12,11670_10_19,295,1
12,11670_21,204,3034
13,10110_16_23_24,27,4694
13,10110_6_10_12_17_18_,31,1602013
13,10110_9,27,197
13,10120_16_27,51,81394
13,10120_17_18_21,51,192767
13,10160_13_14,158,7745
13,10160_16_23_24_25,127,652275
13,10160_17,126,25192
13,10170_6_7_8_9_12_18,169,2025
13,10190_13_14,157,223745
13,10190_6_7_9_12_16_17,440,21587957
13,10200_13,348,11395
13,10200_6_9_12_17,143,611369
13,10270_4_5_6,11,6285
13,10280_4_6_7_12,17,18814
13,10290_2_3_4_5_6_7_12,8,30612
13,10300_2_3_4_5_6_7,10,143011
13,10310_2_3_4_5_6_12,9,1018687
13,10321_6,34,4003
13,10322_6,52,19702
13,10330_12,64,51163
13,10330_3_6_7,258,16091
13,10340_4_6_7,68,1741
13,10440_3_6_7,327,107
13,10450_1_7_8_9,22,28
13,10460_18,41,54
13,10500_18,122,184
13,10510_15_16_17_22_23,11,39712
13,10510_18_21,11,72
13,10520_12,33,184388
13,10520_13,39,4371
13,10520_16_23_24,33,44321
13,10520_17,33,473154
13,10520_18,33,2363
13,10531_1_7_8_9,14,16
13,10532_7_9,47,18
13,10540_13_14,15,385
13,10540_16_23_24,17,43251
13,10540_17,15,29643
13,10550_16_23_24,208,389
13,10550_17,174,133674
13,10550_18,139,85
13,10570_12_16,143,22819
13,10570_18,142,401
13,10580_12,36,47371
13,10581_6,36,21020
13,10582_6,26,7299
13,10610_13,33,757
13,10610_18,28,1474
13,10610_6,36,4129
13,10610_8_9_17,27,577959
13,10611_16_23_24,10,17410
13,10612_16_23,32,1967
13,10620_16_23,64,135549
13,10620_6_12_17_18,69,3373827
13,10640_15_16_17_23_24,79,123465
13,10660_16_23_24,0,1388
13,10700_16,227,11
13,10710_6,228,18972
13,10780_16_23_24_25,77,235
13,10790_13,87,8035
13,10790_6_9_10_12_16_1,84,60710488
13,10800_1_7_8_9,101,45368
13,10800_13_14,111,29639
13,10803_6_12_15_16_17_,151,18045376
13,10804_6_12_15_16_17_,120,43193565
13,10810_15_16_23_24_28,616,37167
13,10810_18_19_21,1140,29429
13,10810_6_12_13_17,1978,74741494
13,10810_7_8_9,698,65500
13,10820_12_15_16_17_23,815,7186878
13,10820_4_13,399,3165981
13,10820_6,516,1781
13,10860_13_16_17_18_21,22,434700
13,10870_4_6_12_13_14_1,329,1194925
13,10880_12_13_14_25,0,380804
13,10930_13_15_16_23_24,220,5447
13,10970_3_6_7,54,32
13,10980_6,34,3548
13,11020_13_15_16_23_24,65,34109
13,11030_6_7_12_13_16_1,50,1782685
13,11040_17,50,199417
13,11050_3_6_7,74,2011
13,11060_1_8_9,41,17
13,11060_18,44,10262
13,11070_13,39,160
13,11070_17,39,832024
13,11071_16,42,415435
13,11072_16,39,134248
13,11080_17,50,257264
13,11090_4_13,1284,45
13,11140_3_6_7,9,8265
13,11150_13,187,2
13,11150_15_16_23_24,64,13207
13,11150_17,186,12490
13,11170_16_23_24,8,546
