epa_value,bps_model,mfri_all,count
1,10080_1_2_3_7,10,430
1,10180_1_7,65,12
1,10350_1_2_7,35,32
1,10450_1_7_8_9,22,246593
1,10451_10_19,19,113600
1,10452_10_19,37,61
1,10530_10_19,13,91355
1,10531_1_7_8_9,14,75499
1,10560_1_7_8_9,93,2
1,10560_10_19,181,13
1,10600_1_2_7,28,3
1,10610_8_9_17,27,368
1,10620_10_19_21_29_31,69,878
1,10650_1_8_9_10,253,1078512
1,10790_6_9_10_12_16_17_18,84,2
1,10800_1_7_8_9,101,65140
1,10800_10_19,80,108805
1,10810_7_8_9,698,3
1,11060_1_8_9,41,2244
1,11060_10_19,82,835
1,11230_1_7_8_9,39,7296300
1,11230_10_18,50,314009
1,11240_1_7_8_9,222,5483
1,11240_10_12_17_18_19_21,201,13504
1,11250_1_7_8_9_10_19,59,879580
1,11260_1_7_8_9_10_19,31,407226
1,11270_7_8_9,212,12
1,11340_10,14,266
1,11350_7_8_9_10_12_17_18,81,132422
1,11390_10_19,17,45776
1,11390_8_9,35,5
1,11420_8,18,300
1,11450_9_10_19,32,18
1,11530_6_10_12_13_17_18_19_21,1024,635
1,11530_7_8_9,1019,6151
1,11540_1_7_8_9,99,459299
1,11540_10_19,173,175184
1,11560_1_2_7,749,4968
1,11590_10_19,50,216862
1,11590_8_9,50,3033
1,11610_9_10_19,386,41
1,11650_1_7_8,54,58110
1,11660_9_10_19,27,747
2,10450_1_7_8_9,22,30240
2,10451_10_19,19,4713
2,10452_10_19,37,1
2,10530_10_19,13,166
2,10531_1_7_8_9,14,53711
2,10560_10_19,181,1
2,10610_8_9_17,27,57
2,10650_1_8_9_10,253,138403
2,10800_1_7_8_9,101,77531
2,10800_10_19,80,11533
2,11060_1_8_9,41,113
2,11230_1_7_8_9,39,10298800
2,11230_10_18,50,9927
2,11240_1_7_8_9,222,70
2,11240_10_12_17_18_19_21,201,1170
2,11250_1_7_8_9_10_19,59,2361533
2,11260_1_7_8_9_10_19,31,526891
2,11270_7_8_9,212,315
2,11350_7_8_9_10_12_17_18,81,33897
2,11390_10_19,17,1593
2,11390_8_9,35,1
2,11530_7_8_9,1019,296
2,11540_1_7_8_9,99,338829
2,11540_10_19,173,5279
2,11590_10_19,50,2898
2,11590_8_9,50,10854
2,11610_9_10_19,386,4
2,11650_1_7_8,54,7027
3,10080_1_2_3_7,10,2535
3,10110_9,27,481
3,10170_6_7_8_9_12_18,169,50067
3,10180_1_7,65,2458
3,10270_2_3_7,8,471
3,10280_4_6_7_12,17,2
3,10310_7,19,30
3,10370_1_2_7,80,1029
3,10390_1_2_3_7,404,293
3,10431_2_3_6_7,14,2632
3,10450_1_7_8_9,22,29242
3,10470_8_9,70,25
3,10531_1_7_8_9,14,128220
3,10532_7_9,47,3718
3,10600_1_2_7,28,142934
3,10610_8_9_17,27,111
3,10620_7_9,77,35
3,10650_1_8_9_10,253,758557
3,10800_1_7_8_9,101,182390
3,10810_7_8_9,698,104
3,11030_6_7_12_13_16_17_23,50,1
3,11050_3_6_7,74,28
3,11060_1_8_9,41,1789
3,11230_1_7_8_9,39,8647808
3,11240_1_7_8_9,222,58511
3,11250_1_7_8_9_10_19,59,351759
3,11260_1_7_8_9_10_19,31,117607
3,11270_7_8_9,212,6061
3,11340_8_9,9,33579
3,11350_7_8_9_10_12_17_18,81,6039
3,11390_8_9,35,474
3,11420_8,18,25
3,11520_2_3_7,35,12
3,11530_7_8_9,1019,5149
3,11540_1_7_8_9,99,103242
3,11560_1_2_7,749,14
3,11581_1_2_7,865,40
3,11582_1_2_7,155,3920
3,11590_8_9,50,8972
3,11650_1_7_8,54,64
3,11650_9,18,1
4,10450_1_7_8_9,22,27940
4,10531_1_7_8_9,14,23431
4,10650_1_8_9_10,253,21428
4,10800_1_7_8_9,101,3144
4,11060_1_8_9,41,12
4,11230_1_7_8_9,39,2063900
4,11250_1_7_8_9_10_19,59,18504
4,11260_1_7_8_9_10_19,31,115329
4,11350_7_8_9_10_12_17_18,81,48208
4,11390_8_9,35,2
4,11420_8,18,3
4,11530_7_8_9,1019,6617
4,11540_1_7_8_9,99,55200
4,11590_8_9,50,9
4,11650_1_7_8,54,17418
5,10080_1_2_3_7,10,14199
5,10170_6_7_8_9_12_18,169,1313
5,10180_1_7,65,3700
5,10270_2_3_7,8,13
5,10300_2_3_4_5_6_7,10,27
5,10320_2_3_7,25,11
5,10370_1_2_7,80,192
5,10431_2_3_6_7,14,1
5,10450_1_7_8_9,22,21459
5,10531_1_7_8_9,14,22488
5,10532_7_9,47,2651
5,10600_1_2_7,28,29356
5,10610_8_9_17,27,1202
5,10650_1_8_9_10,253,83659
5,10800_1_7_8_9,101,913673
5,10810_7_8_9,698,21
5,10980_7,34,8
5,11060_1_8_9,41,2441
5,11230_1_7_8_9,39,2821136
5,11240_1_7_8_9,222,4100
5,11250_1_7_8_9_10_19,59,5841005
5,11260_1_7_8_9_10_19,31,329316
5,11270_7_8_9,212,52
5,11350_7_8_9_10_12_17_18,81,6001070
5,11390_8_9,35,1
5,11420_8,18,15
5,11530_7_8_9,1019,80731
5,11540_1_7_8_9,99,1123807
5,11560_1_2_7,749,2906
5,11581_1_2_7,865,2
5,11582_1_2_7,155,317
5,11590_8_9,50,4183
5,11650_1_7_8,54,4522
6,10110_9,27,313
6,10450_1_7_8_9,22,257541
6,10470_8_9,70,5642
6,10531_1_7_8_9,14,78690
6,10532_7_9,47,666
6,10550_1_8_9,120,2
6,10560_1_7_8_9,93,7
6,10610_8_9_17,27,70
6,10650_1_8_9_10,253,19464
6,10800_1_7_8_9,101,2282
6,11060_1_8_9,41,454340
6,11230_1_7_8_9,39,2009243
6,11240_1_7_8_9,222,284
6,11250_1_7_8_9_10_19,59,10920
6,11260_1_7_8_9_10_19,31,78311
6,11270_7_8_9,212,15
6,11340_8_9,9,45308
6,11350_7_8_9_10_12_17_18,81,932
6,11390_8_9,35,123466
6,11420_8,18,46693
6,11420_9_10,25,705
6,11530_7_8_9,1019,57
6,11540_1_7_8_9,99,60342
6,11590_8_9,50,60030
6,11600_8_9,80,119
6,11610_9_10_19,386,104
6,11650_1_7_8,54,264
6,11650_9,18,43
6,11660_9_10_19,27,305
6,11670_1_7_9,56,86
7,10080_1_2_3_7,10,89640
7,10180_1_7,65,1496
7,10450_1_7_8_9,22,228602
7,10460_1_7_9,64,888
7,10531_1_7_8_9,14,233975
7,10550_1_8_9,120,238
7,10560_1_7_8_9,93,103
7,10600_1_2_7,28,30031
7,10610_8_9_17,27,54
7,10650_1_8_9_10,253,1096724
7,10800_1_7_8_9,101,132106
7,10810_7_8_9,698,97
7,10840_1,10975,29
7,11060_1_8_9,41,10390
7,11230_1_7_8_9,39,7685824
7,11240_1_7_8_9,222,12352
7,11250_1_7_8_9_10_19,59,1661859
7,11260_1_7_8_9_10_19,31,427832
7,11270_7_8_9,212,860
7,11350_7_8_9_10_12_17_18,81,301541
7,11390_8_9,35,87
7,11420_8,18,36
7,11530_7_8_9,1019,4067
7,11540_1_7_8_9,99,174420
7,11560_1_2_7,749,36056
7,11582_1_2_7,155,2591
7,11590_8_9,50,5912
7,11650_1_7_8,54,18753
8,10450_1_7_8_9,22,206328
8,10451_10_19,19,82806
8,10452_10_19,37,255
8,10453_10_19,72,100416
8,10470_10_19,80,2455
8,10530_10_19,13,101161
8,10531_1_7_8_9,14,911586
8,10550_10_19,137,4999
8,10560_10_19,181,3
8,10610_8_9_17,27,10
8,10650_1_8_9_10,253,85526
8,10800_1_7_8_9,101,2634
8,11060_1_8_9,41,772933
8,11060_10_19,82,3145
8,11230_1_7_8_9,39,2136918
8,11230_10_18,50,70
8,11240_1_7_8_9,222,211
8,11240_10_12_17_18_19_21,201,2691
8,11250_1_7_8_9_10_19,59,648
8,11260_1_7_8_9_10_19,31,47117
8,11340_10,14,98
8,11340_8_9,9,291710
8,11390_10_19,17,17646
8,11390_8_9,35,259468
8,11420_8,18,264818
8,11450_9_10_19,32,39
8,11540_1_7_8_9,99,737900
8,11540_10_19,173,45228
8,11590_10_19,50,28549
8,11590_8_9,50,10181
8,11610_9_10_19,386,2761
8,11660_9_10_19,27,25
9,10110_9,27,854
9,10450_1_7_8_9,22,223836
9,10470_8_9,70,7401
9,10531_1_7_8_9,14,138518
9,10532_7_9,47,2188
9,10610_8_9_17,27,155
9,10620_7_9,77,20
9,10650_1_8_9_10,253,99
9,10800_1_7_8_9,101,67
9,11060_1_8_9,41,153248
9,11230_1_7_8_9,39,817650
9,11240_1_7_8_9,222,259
9,11250_1_7_8_9_10_19,59,6956
9,11260_1_7_8_9_10_19,31,12913
9,11270_7_8_9,212,36
9,11340_8_9,9,41657
9,11390_8_9,35,6507
9,11420_8,18,38440
9,11420_9_10,25,119
9,11530_7_8_9,1019,3
9,11540_1_7_8_9,99,5033
9,11590_8_9,50,51144
9,11600_8_9,80,29
9,11650_9,18,61
9,11660_9_10_19,27,1643
9,11670_1_7_9,56,100
10,10110_9,27,1365
10,10450_1_7_8_9,22,902948
10,10451_10_19,19,35441
10,10452_10_19,37,1759
10,10453_10_19,72,38093
10,10470_10_19,80,1025
10,10470_8_9,70,15332
10,10530_10_19,13,5018
10,10531_1_7_8_9,14,191202
10,10532_7_9,47,818
10,10550_1_8_9,120,50
10,10550_10_19,137,60
10,10560_1_7_8_9,93,2
10,10560_10_19,181,3
10,10610_8_9_17,27,1060
10,10650_1_8_9_10,253,183
10,10800_1_7_8_9,101,116
10,11060_1_8_9,41,328269
10,11060_10_19,82,2607
10,11230_1_7_8_9,39,184165
10,11230_10_18,50,31711
10,11240_1_7_8_9,222,955
10,11240_10_12_17_18_19_21,201,1280
10,11250_1_7_8_9_10_19,59,9118
10,11260_1_7_8_9_10_19,31,13053
10,11270_7_8_9,212,2
10,11340_10,14,5178
10,11340_8_9,9,17966
10,11390_10_19,17,2141
10,11390_8_9,35,37697
10,11420_9_10,25,440
10,11450_9_10_19,32,130
10,11530_7_8_9,1019,229
10,11540_1_7_8_9,99,105040
10,11540_10_19,173,5820
10,11590_10_19,50,1792
10,11590_8_9,50,130164
10,11600_8_9,80,40
10,11610_9_10_19,386,486
10,11650_9,18,2
10,11660_9_10_19,27,3198
10,11670_1_7_9,56,9649
11,10080_1_2_3_7,10,1236
11,10110_7,56,25
11,10110_9,27,148
11,10170_6_7_8_9_12_18,169,15685
11,10180_1_7,65,644
11,10270_2_3_7,8,184
11,10280_4_6_7_12,17,4
11,10310_7,19,48
11,10370_1_2_7,80,104
11,10412_1_7,166,4
11,10431_2_3_6_7,14,3114
11,10450_1_7_8_9,22,6850
11,10470_8_9,70,8
11,10531_1_7_8_9,14,10355
11,10532_7_9,47,2224
11,10600_1_2_7,28,15413
11,10610_8_9_17,27,2
11,10620_7_9,77,1
11,10650_1_8_9_10,253,89537
11,10800_1_7_8_9,101,73397
11,10810_7_8_9,698,506
11,11060_1_8_9,41,71
11,11230_1_7_8_9,39,1377516
11,11240_1_7_8_9,222,26495
11,11250_1_7_8_9_10_19,59,89981
11,11260_1_7_8_9_10_19,31,16533
11,11270_7_8_9,212,1409
11,11340_8_9,9,233
11,11350_7_8_9_10_12_17_18,81,2345
11,11390_8_9,35,97
11,11420_8,18,119
11,11520_2_3_7,35,4
11,11530_7_8_9,1019,31
11,11540_1_7_8_9,99,31722
11,11581_1_2_7,865,6
11,11582_1_2_7,155,1303
11,11590_8_9,50,288
11,11650_1_7_8,54,8
12,10110_9,27,13
12,10450_1_7_8_9,22,62479
12,10470_8_9,70,1367
12,10531_1_7_8_9,14,9485
12,10532_7_9,47,479
12,10610_8_9_17,27,121
12,10620_7_9,77,2
12,10650_1_8_9_10,253,21511
12,10800_1_7_8_9,101,981
12,11060_1_8_9,41,76169
12,11230_1_7_8_9,39,863139
12,11240_1_7_8_9,222,2
12,11250_1_7_8_9_10_19,59,3762
12,11260_1_7_8_9_10_19,31,19545
12,11340_8_9,9,34390
12,11350_7_8_9_10_12_17_18,81,1
12,11390_8_9,35,45497
12,11420_8,18,345
12,11420_9_10,25,1
12,11530_7_8_9,1019,428
12,11540_1_7_8_9,99,15171
12,11590_8_9,50,30108
12,11650_1_7_8,54,412
12,11650_9,18,84
12,11660_9_10_19,27,4
13,10080_1_2_3_7,10,342
13,10180_1_7,65,316
13,10350_1_2_7,35,27
13,10370_1_2_7,80,9
13,10450_1_7_8_9,22,365903
13,10451_10_19,19,23097
13,10452_10_19,37,1704
13,10460_1_7_9,64,1
13,10530_10_19,13,14180
13,10531_1_7_8_9,14,39550
13,10560_1_7_8_9,93,66
13,10560_10_19,181,7
13,10600_1_2_7,28,7
13,10620_10_19_21_29_31,69,5
13,10650_1_8_9_10,253,445370
13,10800_1_7_8_9,101,29839
13,10800_10_19,80,52074
13,10840_1,10975,264
13,11060_1_8_9,41,185
13,11060_10_19,82,48
13,11230_1_7_8_9,39,1388313
13,11230_10_18,50,315318
13,11240_1_7_8_9,222,170
13,11240_10_12_17_18_19_21,201,75
13,11250_1_7_8_9_10_19,59,110049
13,11260_1_7_8_9_10_19,31,132021
13,11270_10_12_13_17_18,225,72
13,11340_10,14,6
13,11340_8_9,9,6
13,11350_7_8_9_10_12_17_18,81,405796
13,11390_10_19,17,3336
13,11390_8_9,35,2
13,11400_10_19,146,1
13,11420_8,18,2
13,11450_9_10_19,32,67
13,11530_7_8_9,1019,48
13,11540_1_7_8_9,99,80517
13,11540_10_19,173,19308
13,11560_1_2_7,749,37130
13,11582_1_2_7,155,2746
13,11590_10_19,50,20887
13,11590_8_9,50,754
13,11600_10_19,80,1
13,11600_8_9,80,1
13,11610_9_10_19,386,36
13,11650_1_7_8,54,37349
13,11660_9_10_19,27,585
14,10110_9,27,1879
14,10170_6_7_8_9_12_18,169,1784
14,10450_1_7_8_9,22,228784
14,10470_8_9,70,28028
14,10531_1_7_8_9,14,107191
14,10532_7_9,47,11433
14,10550_1_8_9,120,1
14,10610_8_9_17,27,404
14,10620_7_9,77,53
14,10650_1_8_9_10,253,19964
14,10800_1_7_8_9,101,488
14,11060_1_8_9,41,98650
14,11230_1_7_8_9,39,1482095
14,11240_1_7_8_9,222,14
14,11250_1_7_8_9_10_19,59,7045
14,11260_1_7_8_9_10_19,31,9529
14,11270_7_8_9,212,1
14,11340_8_9,9,65630
14,11390_8_9,35,468
14,11420_9_10,25,68
14,11530_7_8_9,1019,1
14,11540_1_7_8_9,99,17983
14,11590_8_9,50,52919
14,11600_8_9,80,226
14,11650_1_7_8,54,221
14,11650_9,18,509
14,11660_9_10_19,27,1710
14,11670_1_7_9,56,272
15,10080_1_2_3_7,10,1149
15,10110_7,56,422
15,10110_9,27,236503
15,10170_6_7_8_9_12_18,169,1356584
15,10180_1_7,65,874
15,10270_2_3_7,8,622
15,10280_4_6_7_12,17,260
15,10310_7,19,22
15,10370_1_2_7,80,754
15,10412_1_7,166,131
15,10420_1_7,1172,28
15,10431_2_3_6_7,14,2224
15,10450_1_7_8_9,22,344090
15,10470_8_9,70,1332
15,10531_1_7_8_9,14,512763
15,10532_7_9,47,398209
15,10550_1_8_9,120,273
15,10560_1_7_8_9,93,5
15,10600_1_2_7,28,26015
15,10610_8_9_17,27,11254
15,10620_7_9,77,78142
15,10650_1_8_9_10,253,197639
15,10790_6_9_10_12_16_17_18,84,105531
15,10800_1_7_8_9,101,440254
15,10810_7_8_9,698,40
15,11060_1_8_9,41,3453
15,11230_1_7_8_9,39,4123464
15,11240_1_7_8_9,222,247684
15,11250_1_7_8_9_10_19,59,2233959
15,11260_1_7_8_9_10_19,31,3583719
15,11270_7_8_9,212,1671
15,11340_8_9,9,2107
15,11350_7_8_9_10_12_17_18,81,338
15,11390_8_9,35,4477
15,11400_9,464,86
15,11420_8,18,5
15,11420_9_10,25,1
15,11520_2_3_7,35,88
15,11530_7_8_9,1019,2862
15,11540_1_7_8_9,99,81605
15,11560_1_2_7,749,34
15,11581_1_2_7,865,10
15,11582_1_2_7,155,1296
15,11590_8_9,50,282121
15,11600_8_9,80,22719
15,11610_9_10_19,386,15
15,11650_1_7_8,54,130
15,11650_9,18,15465
15,11660_9_10_19,27,7882
15,11670_1_7_9,56,6460
15,11740_1_7,160,385
16,10110_9,27,152208
16,10170_6_7_8_9_12_18,169,176009
16,10450_1_7_8_9,22,3036483
16,10470_8_9,70,10463
16,10531_1_7_8_9,14,2003408
16,10532_7_9,47,275807
16,10550_1_8_9,120,9963
16,10560_1_7_8_9,93,161
16,10610_8_9_17,27,58805
16,10620_7_9,77,21312
16,10650_1_8_9_10,253,6244
16,10790_6_9_10_12_16_17_18,84,3307
16,10800_1_7_8_9,101,7157
16,11060_1_8_9,41,8028
16,11230_1_7_8_9,39,475676
16,11240_1_7_8_9,222,7288
16,11250_1_7_8_9_10_19,59,77764
16,11260_1_7_8_9_10_19,31,270428
16,11270_7_8_9,212,7
16,11340_8_9,9,36
16,11350_7_8_9_10_12_17_18,81,25
16,11390_8_9,35,1396
16,11400_9,464,1288
16,11420_9_10,25,5
16,11450_9_10_19,32,1
16,11530_7_8_9,1019,2
16,11540_1_7_8_9,99,3132
16,11590_8_9,50,233540
16,11600_8_9,80,105250
16,11610_9_10_19,386,616
16,11650_9,18,3198
16,11660_9_10_19,27,53114
16,11670_1_7_9,56,93278
17,10110_9,27,16395
17,10170_6_7_8_9_12_18,169,854
17,10450_1_7_8_9,22,2121500
17,10460_1_7_9,64,1
17,10470_8_9,70,211481
17,10531_1_7_8_9,14,678494
17,10532_7_9,47,77718
17,10550_1_8_9,120,13854
17,10560_1_7_8_9,93,29
17,10610_8_9_17,27,20614
17,10620_7_9,77,76
17,10650_1_8_9_10,253,1923
17,10800_1_7_8_9,101,370
17,11060_1_8_9,41,32807
17,11230_1_7_8_9,39,644516
17,11240_1_7_8_9,222,374
17,11250_1_7_8_9_10_19,59,4338
17,11260_1_7_8_9_10_19,31,4941
17,11270_7_8_9,212,25
17,11340_8_9,9,1780
17,11390_8_9,35,34699
17,11420_9_10,25,290
17,11450_9_10_19,32,15
17,11540_1_7_8_9,99,10282
17,11590_8_9,50,290829
17,11600_8_9,80,45718
17,11610_9_10_19,386,1624
17,11650_9,18,2784
17,11660_9_10_19,27,26485
17,11670_1_7_9,56,21498
18,10110_6_10_12_17_18_19,31,63
18,10110_9,27,79695
18,10170_6_7_8_9_12_18,169,32019
18,10450_1_7_8_9,22,1838740
18,10451_10_19,19,145749
18,10452_10_19,37,112
18,10453_10_19,72,63765
18,10460_1_7_9,64,1390
18,10460_10_19_20,184,25620
18,10470_10_19,80,5089
18,10470_8_9,70,34455
18,10530_10_19,13,193680
18,10531_1_7_8_9,14,786526
18,10532_7_9,47,58998
18,10550_1_8_9,120,32959
18,10550_10_19,137,20026
18,10560_1_7_8_9,93,16319
18,10560_10_19,181,112875
18,10610_8_9_17,27,92598
18,10620_7_9,77,15257
18,10650_1_8_9_10,253,3161
18,10700_10_19_28,228,13
18,10790_6_9_10_12_16_17_18,84,23
18,10800_1_7_8_9,101,28
18,10800_10_19,80,122
18,11060_1_8_9,41,16608
18,11060_10_19,82,140
18,11230_1_7_8_9,39,13781
18,11230_10_18,50,29713
18,11240_1_7_8_9,222,400
18,11240_10_12_17_18_19_21,201,523
18,11250_1_7_8_9_10_19,59,126869
18,11260_1_7_8_9_10_19,31,262470
18,11340_10,14,66
18,11390_10_19,17,3247
18,11390_8_9,35,108
18,11400_10_19,146,1180
18,11400_9,464,649
18,11450_9_10_19,32,183
18,11530_7_8_9,1019,1
18,11540_1_7_8_9,99,1364
18,11540_10_19,173,5483
18,11590_10_19,50,12292
18,11590_8_9,50,136405
18,11600_10_19,80,4352
18,11600_8_9,80,63581
18,11610_9_10_19,386,4893
18,11650_9,18,172
18,11660_9_10_19,27,50516
18,11670_1_7_9,56,33128
19,10110_6_10_12_17_18_19,31,96
19,10110_9,27,12875
19,10450_1_7_8_9,22,1003407
19,10451_10_19,19,91281
19,10452_10_19,37,1055
19,10453_10_19,72,151275
19,10460_1_7_9,64,491
19,10460_10_19_20,184,26518
19,10470_10_19,80,18464
19,10470_8_9,70,55543
19,10530_10_19,13,169024
19,10531_1_7_8_9,14,159159
19,10532_7_9,47,22431
19,10550_1_8_9,120,7418
19,10550_10_19,137,9096
19,10560_1_7_8_9,93,10170
19,10560_10_19,181,149379
19,10610_8_9_17,27,3543
19,10620_7_9,77,1740
19,10650_1_8_9_10,253,72
19,10700_10_19_28,228,7
19,10790_6_9_10_12_16_17_18,84,7
19,10800_1_7_8_9,101,58
19,11060_1_8_9,41,18311
19,11060_10_19,82,1284
19,11230_1_7_8_9,39,69589
19,11230_10_18,50,36550
19,11240_1_7_8_9,222,159
19,11240_10_12_17_18_19_21,201,276
19,11250_1_7_8_9_10_19,59,10690
19,11260_1_7_8_9_10_19,31,33433
19,11340_10,14,712
19,11340_8_9,9,78
19,11350_7_8_9_10_12_17_18,81,256
19,11390_10_19,17,6651
19,11390_8_9,35,2351
19,11400_10_19,146,3929
19,11400_9,464,63
19,11420_9_10,25,952
19,11430_9_19_21_28,525,1
19,11450_9_10_19,32,74
19,11530_7_8_9,1019,3
19,11540_1_7_8_9,99,1179
19,11540_10_19,173,5338
19,11590_10_19,50,14428
19,11590_8_9,50,84020
19,11600_10_19,80,4509
19,11600_8_9,80,3246
19,11610_9_10_19,386,5458
19,11650_9,18,228
19,11660_9_10_19,27,26207
19,11670_1_7_9,56,1422
20,10110_6_10_12_17_18_19,31,80
20,10110_9,27,33083
20,10170_6_7_8_9_12_18,169,41
20,10450_1_7_8_9,22,2878525
20,10451_10_19,19,181655
20,10452_10_19,37,1177
20,10453_10_19,72,247202
20,10460_1_7_9,64,59
20,10460_10_19_20,184,167
20,10470_10_19,80,65878
20,10470_8_9,70,337820
20,10530_10_19,13,331888
20,10531_1_7_8_9,14,195936
20,10532_7_9,47,53695
20,10550_1_8_9,120,39779
20,10550_10_19,137,4547
20,10560_1_7_8_9,93,38645
20,10560_10_19,181,33394
20,10610_8_9_17,27,11968
20,10620_7_9,77,929
20,10650_1_8_9_10,253,1726
20,10700_10_19_28,228,27
20,10800_1_7_8_9,101,45
20,10800_10_19,80,270
20,11060_1_8_9,41,41753
20,11060_10_19,82,91
20,11230_1_7_8_9,39,338599
20,11230_10_18,50,155493
20,11240_1_7_8_9,222,544
20,11240_10_12_17_18_19_21,201,414
20,11250_1_7_8_9_10_19,59,40982
20,11260_1_7_8_9_10_19,31,78018
20,11270_7_8_9,212,248
20,11340_10,14,23
20,11340_8_9,9,1735
20,11350_7_8_9_10_12_17_18,81,2588
20,11390_10_19,17,2159
20,11390_8_9,35,24550
20,11400_10_19,146,107
20,11400_9,464,686
20,11420_8,18,2
20,11420_9_10,25,3400
20,11450_9_10_19,32,922
20,11530_7_8_9,1019,2
20,11540_1_7_8_9,99,10073
20,11540_10_19,173,18299
20,11590_10_19,50,47455
20,11590_8_9,50,251409
20,11600_10_19,80,4625
20,11600_8_9,80,14786
20,11610_9_10_19,386,7084
20,11650_9,18,1536
20,11660_9_10_19,27,64167
20,11670_1_7_9,56,12108
21,10110_6_10_12_17_18_19,31,112
21,10110_9,27,11363
21,10170_6_7_8_9_12_18,169,68
21,10450_1_7_8_9,22,1189832
21,10451_10_19,19,171034
21,10452_10_19,37,6067
21,10453_10_19,72,40390
21,10460_10_19_20,184,574
21,10470_10_19,80,4838
21,10470_8_9,70,35238
21,10530_10_19,13,398033
21,10531_1_7_8_9,14,110523
21,10532_7_9,47,89754
21,10550_1_8_9,120,1649
21,10550_10_19,137,222
21,10560_1_7_8_9,93,4053
21,10560_10_19,181,3214
21,10610_8_9_17,27,1484
21,10620_10_19_21_29_31,69,16602
21,10620_7_9,77,2987
21,10650_1_8_9_10,253,4386
21,10790_6_9_10_12_16_17_18,84,282
21,10800_1_7_8_9,101,188
21,10800_10_19,80,75
21,11060_1_8_9,41,319806
21,11060_10_19,82,7113
21,11230_1_7_8_9,39,1375221
21,11230_10_18,50,707038
21,11240_1_7_8_9,222,315
21,11240_10_12_17_18_19_21,201,9218
21,11250_1_7_8_9_10_19,59,42914
21,11260_1_7_8_9_10_19,31,37814
21,11270_10_12_13_17_18,225,8
21,11270_7_8_9,212,54
21,11340_10,14,167998
21,11340_8_9,9,248933
21,11350_7_8_9_10_12_17_18,81,1439
21,11390_10_19,17,188838
21,11390_8_9,35,304824
21,11400_10_19,146,2
21,11400_9,464,12
21,11420_8,18,24
21,11420_9_10,25,1297
21,11450_9_10_19,32,1833
21,11530_7_8_9,1019,74
21,11540_1_7_8_9,99,42020
21,11540_10_19,173,97673
21,11590_10_19,50,29003
21,11590_8_9,50,152732
21,11600_10_19,80,2338
21,11600_8_9,80,6295
21,11610_9_10_19,386,1056
21,11650_9,18,4368
21,11660_9_10_19,27,10614
21,11670_1_7_9,56,2996
22,10110_9,27,246698
22,10170_6_7_8_9_12_18,169,27184
22,10190_6_7_9_12_16_17_18_19,440,7
22,10450_1_7_8_9,22,1201218
22,10460_1_7_9,64,471
22,10470_8_9,70,47347
22,10531_1_7_8_9,14,1196510
22,10532_7_9,47,775996
22,10550_1_8_9,120,67953
22,10560_1_7_8_9,93,2168
22,10610_8_9_17,27,192158
22,10620_7_9,77,66499
22,10650_1_8_9_10,253,1073
22,10790_6_9_10_12_16_17_18,84,13898
22,10800_1_7_8_9,101,1204
22,11060_1_8_9,41,2513
22,11230_1_7_8_9,39,13330
22,11240_1_7_8_9,222,94340
22,11250_1_7_8_9_10_19,59,18223
22,11260_1_7_8_9_10_19,31,184818
22,11270_7_8_9,212,40
22,11390_8_9,35,346
22,11400_9,464,260
22,11590_8_9,50,65580
22,11600_8_9,80,127878
22,11610_9_10_19,386,1577
22,11650_9,18,16521
22,11660_9_10_19,27,88026
22,11670_1_7_9,56,17378
23,10110_6_10_12_17_18_19,31,612
23,10110_9,27,519872
23,10170_6_7_8_9_12_18,169,267795
23,10450_1_7_8_9,22,376509
23,10451_10_19,19,61044
23,10453_10_19,72,4036
23,10460_1_7_9,64,62
23,10470_10_19,80,3629
23,10470_8_9,70,1847
23,10530_10_19,13,67899
23,10531_1_7_8_9,14,340846
23,10532_7_9,47,229438
23,10550_1_8_9,120,5991
23,10550_10_19,137,34
23,10560_1_7_8_9,93,1233
23,10560_10_19,181,1247
23,10570_18,142,3
23,10610_18,28,115
23,10610_8_9_17,27,34900
23,10620_10_19_21_29_31,69,1
23,10620_6_12_17_18,69,17
23,10620_7_9,77,85143
23,10650_1_8_9_10,253,150532
23,10790_6_9_10_12_16_17_18,84,420698
23,10800_1_7_8_9,101,10694
23,10800_10_19,80,49
23,10804_6_12_15_16_17_18_23_24_25,120,89
23,11060_1_8_9,41,46705
23,11060_10_19,82,13
23,11230_1_7_8_9,39,838231
23,11230_10_18,50,25285
23,11240_1_7_8_9,222,160446
23,11240_10_12_17_18_19_21,201,69
23,11250_1_7_8_9_10_19,59,3169947
23,11250_6_12_13_15_16_17_18_23_24_25_28,117,248407
23,11260_1_7_8_9_10_19,31,4488566
23,11260_6_12_17_18_28,49,78055
23,11270_7_8_9,212,72
23,11340_8_9,9,539
23,11350_7_8_9_10_12_17_18,81,567
23,11390_10_19,17,1685
23,11390_8_9,35,10961
23,11400_9,464,327
23,11530_7_8_9,1019,955
23,11540_1_7_8_9,99,55369
23,11540_10_19,173,20771
23,11540_18,174,20251
23,11590_10_19,50,30151
23,11590_18,174,8432
23,11590_8_9,50,399177
23,11600_10_19,80,2866
23,11600_18,42,10370
23,11600_8_9,80,36139
23,11610_9_10_19,386,736
23,11650_9,18,25735
23,11660_9_10_19,27,9425
23,11670_1_7_9,56,2435
24,10110_9,27,18277
24,10170_6_7_8_9_12_18,169,1940
24,10450_1_7_8_9,22,372635
24,10470_8_9,70,9987
24,10531_1_7_8_9,14,513654
24,10532_7_9,47,66650
24,10550_1_8_9,120,9
